ADEP,ADES,Date,Arrivals,P15,P85,(P85-P15)/2
SBRJ,SBSP,2020-01,1829,58.3310606060606,67.61136363636365,"4,6"
SBSP,SBRJ,2020-01,1828,54.96666666666666,65.81893939393939,"5,4"
SBSP,SBRJ,2019-12,1754,53.969696969696955,67.07045454545457,"6,6"
SBRJ,SBSP,2019-12,1730,58.38076923076923,70.46846153846154,"6,0"
SBSP,SBRJ,2019-11,1674,52.67769230769231,65.4323076923077,"6,4"
SBSP,SBRJ,2019-10,1671,53.668253968253964,63.46666666666666,"4,9"
SBRJ,SBSP,2019-11,1659,58.28749999999999,70.58203125000001,"6,1"
SBRJ,SBSP,2019-10,1635,58.020161290322584,67.05967741935483,"4,5"
SBSP,SBRJ,2019-01,1589,54.71949152542373,64.20762711864407,"4,7"
SBSP,SBRJ,2019-03,1541,53.51083333333331,63.48916666666667,"5,0"
SBRJ,SBSP,2019-01,1535,55.92844827586207,66.42844827586205,"5,3"
SBSP,SBRJ,2019-04,1525,53.43225806451613,63.96532258064516,"5,3"
SBRJ,SBSP,2019-04,1481,57.800000000000004,67.18606557377049,"4,7"
SBRJ,SBSP,2019-03,1470,57.41206896551724,69.32844827586207,"6,0"
SBSP,SBRJ,2020-02,1412,53.437931034482745,67.90172413793103,"7,2"
SBRJ,SBSP,2020-02,1410,57.718103448275855,70.4646551724138,"6,4"
SBSP,SBRJ,2019-02,1393,55.286206896551725,66.65431034482758,"5,7"
SBSP,SBRJ,2019-05,1353,53.432692307692314,64.02307692307693,"5,3"
SBRJ,SBSP,2019-05,1321,57.173076923076934,67.49134615384615,"5,2"
SBSP,SBRJ,2022-05,1301,52.955208333333324,65.36354166666666,"6,2"
SBRJ,SBSP,2022-05,1294,60.23541666666667,71.55104166666666,"5,7"
SBRJ,SBSP,2019-02,1289,57.15648148148148,69.80925925925926,"6,3"
SBSP,SBRJ,2019-07,1272,51.464893617021275,61.30425531914895,"4,9"
SBRJ,SBSP,2019-07,1249,55.93617021276596,66.66489361702126,"5,4"
SBSP,SBRJ,2019-06,1180,52.54574468085106,62.93191489361701,"5,2"
