APT_GROUP,APT_ICAO,DATE,PHASE,N_VALID,(-1e+09.-60],(-60.-55],(-55.-50],(-50.-45],(-45.-40],(-40.-35],(-35.-30],(-30.-25],(-25.-20],(-20.-15],(-15.-10],(-10.-5],(-5.0],(0.5],(5.10],(10.15],(15.20],(20.25],(25.30],(30.35],(35.40],(40.45],(45.50],(50.55],(55.60],(60.1e+09],EARLY_M15M05,EARLY_M05M00,LATE_P00P05,LATE_P05P15,WITHIN_M05P05,WITHIN_M15P15
CINDACTA IV,SBBE,2022-01,ARR,1310,1,0,0,0,0,0,4,7,29,85,157,214,189,193,89,74,62,43,30,32,13,17,14,9,6,42,0.283206107,0.144274809,0.147328244,0.124427481,0.291603053,0.699236641
CINDACTA IV,SBBE,2022-02,ARR,1105,0,0,0,0,0,3,0,4,37,120,219,239,161,131,68,31,23,15,9,4,12,3,3,2,2,19,0.414479638,0.145701357,0.118552036,0.08959276,0.264253394,0.768325792
CINDACTA IV,SBBE,2022-03,ARR,1131,0,0,0,1,0,0,5,10,48,133,213,229,165,118,50,33,37,25,15,7,7,4,1,5,5,20,0.390804598,0.145888594,0.104332449,0.073386384,0.250221043,0.714412025
CINDACTA IV,SBBE,2022-04,ARR,948,0,1,0,1,0,0,2,8,26,92,184,196,108,124,55,44,23,13,18,7,9,7,4,3,1,22,0.400843882,0.113924051,0.130801688,0.10443038,0.244725738,0.75
CINDACTA IV,SBBE,2022-05,ARR,1155,0,0,0,0,0,0,5,17,49,111,175,200,160,153,73,60,39,21,16,14,14,7,7,1,4,29,0.324675325,0.138528139,0.132467532,0.115151515,0.270995671,0.710822511
CINDACTA IV,SBBE,2022-06,ARR,1149,0,0,0,0,1,0,4,15,56,105,199,202,166,126,88,63,27,19,10,15,9,7,4,1,2,30,0.34899913,0.144473455,0.109660574,0.131418625,0.25413403,0.734551784
CINDACTA IV,SBBE,2022-07,ARR,1397,2,0,0,0,0,2,2,19,43,119,209,250,233,194,87,64,47,22,26,10,7,8,4,3,7,39,0.328561203,0.16678597,0.138869005,0.108088762,0.305654975,0.742304939
CINDACTA IV,SBBE,2022-08,ARR,1261,1,0,1,0,0,2,6,23,46,118,192,209,173,153,84,65,45,33,29,21,12,11,3,2,3,29,0.318001586,0.137192704,0.121332276,0.11816019,0.25852498,0.694686757
CINDACTA IV,SBBE,2022-09,ARR,1133,0,0,0,0,1,0,4,14,29,96,181,195,176,147,86,50,45,35,17,18,5,3,5,1,2,23,0.331862312,0.155339806,0.129744042,0.120035305,0.285083848,0.736981465
CINDACTA IV,SBBE,2022-10,ARR,1181,0,0,1,0,1,0,3,13,44,125,222,230,172,129,61,42,39,22,11,14,7,5,4,3,3,30,0.382726503,0.145639289,0.109229467,0.087214225,0.254868755,0.724809483
CINDACTA IV,SBBE,2022-11,ARR,1041,0,0,0,0,0,1,1,6,33,92,158,172,141,129,81,54,37,24,19,15,17,4,6,9,5,37,0.317002882,0.135446686,0.123919308,0.129682997,0.259365994,0.706051873
CINDACTA IV,SBBE,2022-12,ARR,1143,0,0,0,0,0,1,4,8,42,100,164,171,157,137,78,49,40,43,29,22,22,7,15,8,5,41,0.293088364,0.13735783,0.119860017,0.111111111,0.257217848,0.661417323
CINDACTA I,SBBR,2022-01,ARR,4567,1,0,0,3,9,15,33,101,301,639,818,759,532,460,226,167,124,86,59,46,25,23,17,11,17,95,0.345303263,0.116487848,0.100722575,0.086052113,0.217210423,0.648565798
CINDACTA I,SBBR,2022-02,ARR,3508,0,0,0,2,7,13,35,130,326,533,711,642,423,280,124,87,59,33,26,8,18,10,5,3,3,30,0.385689852,0.120581528,0.07981756,0.060148233,0.200399088,0.646237172
CINDACTA I,SBBR,2022-03,ARR,3868,0,0,2,0,4,9,30,126,357,662,813,685,438,295,146,78,53,39,30,10,14,12,10,6,4,45,0.387280248,0.113236815,0.076266805,0.057911065,0.189503619,0.634694933
CINDACTA I,SBBR,2022-04,ARR,3537,0,0,0,0,1,2,24,105,256,505,695,653,445,323,162,93,59,56,28,35,13,17,11,3,4,47,0.381113938,0.125812836,0.091320328,0.072094996,0.217133164,0.670342098
CINDACTA I,SBBR,2022-05,ARR,3919,1,0,0,4,2,10,22,93,220,472,674,698,601,463,192,141,80,61,41,27,17,13,17,12,7,51,0.350089308,0.153355448,0.118142383,0.084970656,0.271497831,0.706557795
CINDACTA I,SBBR,2022-06,ARR,3737,3,0,0,0,0,7,12,90,252,506,692,745,510,378,187,91,59,67,30,23,17,16,9,7,5,31,0.384533048,0.136473107,0.101150656,0.074391223,0.237623762,0.696548033
CINDACTA I,SBBR,2022-07,ARR,4603,0,0,0,0,3,3,13,68,198,485,889,881,730,523,241,154,109,72,48,40,23,21,18,9,10,65,0.384531827,0.158592222,0.113621551,0.0858136,0.272213774,0.742559201
CINDACTA I,SBBR,2022-08,ARR,4451,0,0,0,1,3,8,6,51,187,446,698,871,641,562,269,212,128,96,64,49,39,28,13,9,10,60,0.352505055,0.144012581,0.126263761,0.108065603,0.270276342,0.730847001
CINDACTA I,SBBR,2022-09,ARR,4319,0,0,0,0,1,1,12,67,204,497,732,752,648,495,244,175,126,95,46,52,39,15,19,15,17,67,0.343598055,0.15003473,0.114609863,0.097013197,0.264644594,0.705255846
CINDACTA I,SBBR,2022-10,ARR,4479,0,0,0,0,1,0,21,61,202,501,742,832,652,488,265,170,123,83,57,55,41,25,32,14,14,100,0.351417727,0.145568207,0.108952891,0.097119893,0.254521098,0.703058718
CINDACTA I,SBBR,2022-11,ARR,4479,0,0,0,0,1,2,23,53,199,369,531,657,641,586,336,250,152,137,89,75,70,51,39,44,27,147,0.265237776,0.143112302,0.130832775,0.130832775,0.273945077,0.670015628
CINDACTA I,SBBR,2022-12,ARR,4749,1,0,0,0,1,3,15,51,215,451,652,726,605,540,337,231,189,143,121,84,62,51,36,33,25,177,0.290166351,0.127395241,0.113708149,0.119604127,0.24110339,0.650873868
CINDACTA I,SBCF,2022-01,ARR,3426,1,0,0,2,1,4,8,24,78,265,500,572,536,457,242,179,130,99,56,57,39,35,21,16,16,88,0.312901343,0.156450671,0.13339171,0.12288383,0.289842382,0.725627554
CINDACTA I,SBCF,2022-02,ARR,2769,0,0,0,0,0,1,8,34,157,440,609,527,407,234,113,61,45,37,23,12,12,8,6,5,3,27,0.41025641,0.146984471,0.084507042,0.06283857,0.231491513,0.704586493
CINDACTA I,SBCF,2022-03,ARR,3241,1,1,0,1,0,4,7,55,196,525,696,659,435,266,127,70,52,33,21,15,11,13,5,6,5,37,0.418080839,0.134217834,0.082073434,0.060783709,0.216291268,0.695155816
CINDACTA I,SBCF,2022-04,ARR,3380,2,0,0,0,2,2,15,44,200,492,690,700,475,310,112,101,58,35,32,15,17,7,14,5,5,47,0.411242604,0.140532544,0.091715976,0.063017751,0.232248521,0.706508876
CINDACTA I,SBCF,2022-05,ARR,3722,0,0,0,1,1,2,9,61,208,495,731,722,540,389,152,96,69,48,26,29,19,20,14,5,9,76,0.390381515,0.145083289,0.104513702,0.066630844,0.249596991,0.70660935
CINDACTA I,SBCF,2022-06,ARR,3596,1,0,0,1,1,3,8,60,238,513,704,733,496,337,154,90,66,40,29,24,17,11,12,12,2,44,0.399610679,0.137931034,0.093715239,0.06785317,0.231646274,0.699110122
CINDACTA I,SBCF,2022-07,ARR,4102,0,0,0,0,1,6,19,76,207,465,779,845,550,443,212,140,98,60,42,31,22,16,11,13,7,59,0.395904437,0.134080936,0.107996099,0.085811799,0.242077036,0.723793272
CINDACTA I,SBCF,2022-08,ARR,3896,0,0,0,1,0,5,20,51,186,463,744,730,536,389,253,141,94,59,53,37,23,23,18,7,4,59,0.378336756,0.137577002,0.099845996,0.101129363,0.237422998,0.716889117
CINDACTA I,SBCF,2022-09,ARR,3812,0,0,0,0,1,2,11,39,199,497,749,683,526,370,192,147,91,66,37,41,25,14,17,9,13,83,0.375655824,0.13798531,0.09706191,0.088929696,0.235047219,0.699632739
