Airport,Date,Phase,N_Valid,SUM_TXT,SUM_REF,AVG_ADD_TIME
SBBR,2019-01,Arr,5286,"36368,4","22666,7","2,74"
SBBR,2019-01,Dep,5296,"82085,5","65742,4","3,65"
SBBR,2019-02,Arr,4709,"34885,1","21520,9","2,96"
SBBR,2019-02,Dep,4648,"72930,1","56906,5","3,92"
SBBR,2019-03,Arr,5118,"36551,8","22272,4","2,93"
SBBR,2019-03,Dep,5097,"81962,8","62795,5","4,16"
SBBR,2019-04,Arr,4802,"30666,5","20876,6","2,18"
SBBR,2019-04,Dep,4738,"77379,1","58794,2","4,18"
SBBR,2019-05,Arr,4807,"27615,4","20429,8","1,62"
SBBR,2019-05,Dep,4766,"75575,4","59618,4","3,59"
SBBR,2019-06,Arr,4426,"23894,3","18662,4","1,33"
SBBR,2019-06,Dep,4404,"68327,0","55171,5","3,23"
SBBR,2019-07,Arr,5253,"28504,8","22643,8","1,27"
SBBR,2019-07,Dep,5208,"81120,4","65084,3","3,29"
SBBR,2019-08,Arr,4775,"33606,7","19862,8","3,06"
SBBR,2019-08,Dep,4728,"78411,3","58926,9","4,59"
SBBR,2019-09,Arr,4849,"26799,1","20520,2","1,47"
SBBR,2019-09,Dep,4825,"76938,8","59592,3","3,84"
SBBR,2019-10,Arr,5116,"39851,4","22196,0","3,64"
SBBR,2019-10,Dep,5065,"84471,6","62158,5","5,00"
SBBR,2019-11,Arr,5124,"32595,5","23329,6","1,96"
SBBR,2019-11,Dep,5045,"83077,8","61538,4","4,46"
SBBR,2019-12,Arr,5195,"39735,7","23216,3","3,32"
SBBR,2019-12,Dep,5085,"81967,5","62120,3","4,44"
SBBR,2020-01,Arr,5313,"49095,1","25153,2","4,81"
SBBR,2020-01,Dep,5258,"90631,6","63182,9","5,97"
SBBR,2020-02,Arr,4669,"28879,0","20641,7","1,92"
SBBR,2020-02,Dep,4604,"74233,7","56540,0","4,05"
SBBR,2020-03,Arr,3675,"22646,3","15947,2","1,99"
SBBR,2020-03,Dep,3635,"58695,3","45139,6","4,01"
SBBR,2020-04,Arr,256,"1498,7","1295,6","1,11"
SBBR,2020-04,Dep,240,"3114,0","2831,8","1,93"
SBBR,2020-05,Arr,290,"1616,2","1202,2","1,68"
SBBR,2020-05,Dep,293,"4173,2","3608,8","2,28"
SBBR,2020-06,Arr,486,"2783,4","2466,2","0,92"
SBBR,2020-06,Dep,480,"6161,0","5575,1","1,76"
SBBR,2020-07,Arr,1099,"6010,1","5009,0","1,06"
SBBR,2020-07,Dep,1093,"15737,9","12767,1","3,13"
SBBR,2020-08,Arr,1622,"8995,6","7143,6","1,25"
SBBR,2020-08,Dep,1604,"24547,2","18851,4","3,84"
SBBR,2020-09,Arr,2451,"13923,0","10412,2","1,53"
SBBR,2020-09,Dep,2427,"40583,5","28564,8","5,16"
SBBR,2020-10,Arr,3103,"18558,9","13681,1","1,68"
SBBR,2020-10,Dep,3103,"52948,8","36793,3","5,37"
SBBR,2020-11,Arr,3103,"19117,2","13691,1","1,84"
SBBR,2020-11,Dep,3037,"48953,9","36095,0","4,46"
SBBR,2020-12,Arr,3720,"22638,4","16191,0","1,84"
SBBR,2020-12,Dep,3659,"59112,1","43489,9","4,43"
SBBR,2021-01,Arr,3665,"21637,9","15703,2","1,71"
SBBR,2021-01,Dep,3592,"55896,5","42243,3","4,00"
SBBR,2021-02,Arr,2796,"17387,8","12669,5","1,79"
SBBR,2021-02,Dep,2715,"40333,9","32339,8","3,15"
SBBR,2021-03,Arr,2399,"13404,7","10400,8","1,37"
SBBR,2021-03,Dep,2347,"35171,4","28280,7","3,17"
SBBR,2021-04,Arr,1679,"9361,2","7508,3","1,24"
SBBR,2021-04,Dep,1685,"25316,6","20366,2","3,17"
SBBR,2021-05,Arr,2318,"12675,5","10084,0","1,26"
SBBR,2021-05,Dep,2287,"34605,1","28100,9","3,05"
SBBR,2021-06,Arr,2666,"14875,6","11452,7","1,40"
SBBR,2021-06,Dep,2594,"39423,7","31652,6","3,21"
SBBR,2021-07,Arr,3481,"19479,9","14962,1","1,41"
SBBR,2021-07,Dep,3443,"51125,8","41315,0","3,08"
SBBR,2021-08,Arr,3523,"20070,8","14893,9","1,57"
SBBR,2021-08,Dep,3478,"53030,9","41938,2","3,40"
SBBR,2021-09,Arr,3912,"22799,7","16780,0","1,63"
SBBR,2021-09,Dep,3887,"59585,2","46773,9","3,49"
SBBR,2021-10,Arr,4031,"25046,0","17702,7","1,91"
SBBR,2021-10,Dep,4005,"61338,4","47620,8","3,61"
SBBR,2021-11,Arr,4182,"26280,3","19115,3","1,82"
SBBR,2021-11,Dep,4155,"64817,2","49545,2","3,86"
SBBR,2021-12,Arr,4680,"29577,5","21058,5","1,92"
SBBR,2021-12,Dep,4630,"73051,9","55622,2","3,93"
SBBR,2022-01,Arr,4529,"27660,7","20424,1","1,70"
SBBR,2022-01,Dep,4483,"68099,2","53646,0","3,43"
SBBR,2022-02,Arr,3518,"21966,3","15915,1","1,81"
SBBR,2022-02,Dep,3471,"53754,6","41538,4","3,68"
SBBR,2022-03,Arr,3860,"22110,8","16166,4","1,63"
SBBR,2022-03,Dep,3829,"60613,0","46682,3","3,79"
SBBR,2022-04,Arr,3605,"20537,7","15053,5","1,62"
SBBR,2022-04,Dep,3580,"56470,6","43800,7","3,77"
SBCF,2019-01,Arr,4249,"16334,8","10174,9","1,56"
SBCF,2019-01,Dep,4210,"61766,4","44319,6","4,38"
SBCF,2019-02,Arr,3806,"15905,4","9167,7","1,89"
SBCF,2019-02,Dep,3765,"57043,4","39697,8","4,88"
SBCF,2019-03,Arr,3997,"16363,3","9629,1","1,81"
SBCF,2019-03,Dep,3961,"56708,0","41572,7","4,12"
SBCF,2019-04,Arr,3875,"15215,4","9390,1","1,63"
SBCF,2019-04,Dep,3851,"56861,2","40479,4","4,46"
SBCF,2019-05,Arr,4002,"14955,6","9636,6","1,44"
SBCF,2019-05,Dep,3975,"58255,3","41868,9","4,30"
SBCF,2019-06,Arr,3961,"14791,2","9479,0","1,46"
SBCF,2019-06,Dep,3941,"58138,6","41454,8","4,40"
SBCF,2019-07,Arr,4512,"16883,6","10870,3","1,46"
SBCF,2019-07,Dep,4470,"67397,3","47046,2","4,72"
SBCF,2019-08,Arr,4227,"20154,2","10093,5","2,49"
SBCF,2019-08,Dep,4213,"61379,1","44092,7","4,54"
SBCF,2019-09,Arr,4076,"15844,4","9708,8","1,60"
SBCF,2019-09,Dep,4068,"55266,6","42565,7","3,50"
SBCF,2019-10,Arr,4236,"18104,7","10106,1","2,03"
SBCF,2019-10,Dep,4178,"57259,2","43944,3","3,72"
SBCF,2019-11,Arr,3977,"14512,2","9676,5","1,35"
SBCF,2019-11,Dep,3922,"52221,5","41083,5","3,22"
SBCF,2019-12,Arr,4103,"17450,7","10093,3","1,92"
SBCF,2019-12,Dep,4038,"54975,5","42138,7","3,67"
SBCF,2020-01,Arr,4273,"22220,4","10623,2","2,86"
SBCF,2020-01,Dep,4207,"59852,2","44066,3","4,34"
SBCF,2020-02,Arr,3765,"13984,7","9274,5","1,35"
SBCF,2020-02,Dep,3699,"49004,3","38618,2","3,16"
SBCF,2020-03,Arr,2816,"10381,9","6809,0","1,37"
SBCF,2020-03,Dep,2751,"34662,3","28763,9","2,64"
SBCF,2020-04,Arr,248,"876,7","545,9","1,53"
SBCF,2020-04,Dep,257,"2861,3","2790,5","1,40"
SBCF,2020-05,Arr,290,"1024,1","621,3","1,49"
SBCF,2020-05,Dep,297,"3423,2","3206,5","1,73"
SBCF,2020-06,Arr,334,"981,8","705,2","0,93"
SBCF,2020-06,Dep,335,"3501,7","3684,7","0,69"
SBCF,2020-07,Arr,472,"1493,1","1041,8","1,01"
SBCF,2020-07,Dep,490,"5211,5","5407,1","0,76"
SBCF,2020-08,Arr,746,"2306,1","1618,0","1,02"
SBCF,2020-08,Dep,749,"8300,0","8381,1","0,87"
SBCF,2020-09,Arr,1148,"3679,0","2527,1","1,09"
SBCF,2020-09,Dep,1136,"12661,0","12630,6","0,94"
SBCF,2020-10,Arr,1814,"6312,7","4218,2","1,22"
SBCF,2020-10,Dep,1821,"21357,7","19751,7","1,47"
SBCF,2020-11,Arr,2249,"8030,6","5301,4","1,28"
SBCF,2020-11,Dep,2217,"27306,2","24017,1","2,02"
