gid,airspace_p,effectived,typ,ident,icaocode,nam,areacode,codedistve,uplimituni,codedistv1,lowerlimit,uomdistver,codewrkhr,upperlimit,lowerlimi1,entryrpt,txtlocalty,txtrmk_loc,relatedfir,classrmklo,emenda,emenda_fut,vertex_ind,vertex_par,vertex_p_1,vertex_p_2,distance,angle,LATITUDE,LONGITUDE
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"0","0","0","0",0.00000000000000,247.76875394300498,0.9301666700,-40.7821666700
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"1","0","0","1",0.28396064646764,198.86104448665108,0.6614548000,-40.8739685200
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"2","0","0","2",0.56791998213488,198.85943807187721,0.3927409400,-40.9657604900
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"3","0","0","3",0.85187854968556,198.85865078775501,0.1240258900,-41.0575466000
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"4","0","0","4",1.13583687885347,198.85868234061806,-0.1446895400,-41.1493308600
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"5","0","0","5",1.41979548982894,198.85953368481032,-0.4134045300,-41.2411172800
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"6","0","0","6",1.70375491559175,198.86120290148307,-0.6821182700,-41.3329098800
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"7","0","0","7",1.98771567022848,198.86369060053588,-0.9508299400,-41.4247126500
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"8","0","0","8",2.27167830012443,198.86699994451510,-1.2195387400,-41.5165296200
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"9","0","0","9",2.55564332066102,198.87112803234916,-1.4882438400,-41.6083648100
